Time,ParameterName,ParameterValue
2023-01-01T04:00:00Z,WS_PT1H_AVG,5.5
2023-01-01T04:00:00Z,WS_PT1H_MAX,6.1
2023-01-01T04:00:00Z,WS_PT1H_MIN,4.8
2023-01-01T04:00:00Z,WD_PT1H_AVG,274
2023-01-01T04:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T04:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T04:00:00Z,PA_PT1H_AVG,991.8
2023-01-01T04:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T05:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//cMe85e9Q24Tw940L9nCWHc1s49WOs71dHO5Z4eMo/zXf
WL0WVu0HrE6bbFSevQ+Aao26CdsHQRoN5EpKy/83iIGpzZ2o7SofKv3LHVO+LI+/
OUD5qByI9eIUlOQxvRtvtvGcMhbfbCFn5qOwhm2o+n6k+r4BcakrStHHYV7wZwvt
vA6gbSfNcDheg6yd//kfH92r/x9LDog"
2023-01-01T05:00:00Z,TA_PT1H_MAX,0.7
2023-01-01T05:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//cPq5ZQTECPh4AOBj7f/NUU5z2dMIoqWEJ0rfthZz+j4z
7VNOxWWS90fctfP3VvB9Ekm6jSUC46LpzIyb34eu8KhaoE1aqXaWk37JnNPPIWU+
CA1GHyHn1zo0BKnknvSgCFBeMyvPGjzFGywJnYtHHqtpj6uuUdFF0VDrTgO1M+fZ
1a+ZnICXATRft3Kx2BcIXkD/QyiFbx7"
2023-01-01T05:00:00Z,RH_PT1H_AVG,86
2023-01-01T05:00:00Z,WS_PT1H_AVG,4.7
2023-01-01T05:00:00Z,WS_PT1H_MAX,5.5
2023-01-01T05:00:00Z,WS_PT1H_MIN,4.2
2023-01-01T05:00:00Z,WD_PT1H_AVG,278
2023-01-01T05:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T05:00:00Z,PRI_PT1H_MAX,NaN
2023-01-01T05:00:00Z,PA_PT1H_AVG,992.7
2023-01-01T05:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-01T06:00:00Z,TA_PT1H_AVG,0.3
2023-01-01T06:00:00Z,TA_PT1H_MAX,0.5
2023-01-01T06:00:00Z,TA_PT1H_MIN,0
2023-01-01T06:00:00Z,RH_PT1H_AVG,85
2023-01-01T06:00:00Z,WS_PT1H_AVG,4.2
2023-01-01T06:00:00Z,WS_PT1H_MAX,4.8
2023-01-01T06:00:00Z,WS_PT1H_MIN,3.7
2023-01-01T06:00:00Z,WD_PT1H_AVG,273
2023-01-01T06:00:00Z,PRA_PT1H_ACC,NaN
2023-01-01T06:00:00Z,PRI_PT1H_MAX,NaN
