Time,ParameterName,ParameterValue
2023-01-06T09:00:00Z,RH_PT1H_AVG,88
2023-01-06T09:00:00Z,WS_PT1H_AVG,1.1
2023-01-06T09:00:00Z,WS_PT1H_MAX,1.6
2023-01-06T09:00:00Z,WS_PT1H_MIN,0.5
2023-01-06T09:00:00Z,WD_PT1H_AVG,282
2023-01-06T09:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T09:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T09:00:00Z,PA_PT1H_AVG,1029.8
2023-01-06T09:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T10:00:00Z,TA_PT1H_AVG,-10.1
2023-01-06T10:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAnnpsLLwpT2xqe86ds+64S/1GQvLOEi9uCq97uOGtftqM
kHoEVuZzBeSiymeISMtarOiJg4cyO4mwSl/f5nHVU+YDAvmt1AwHr/mUgHEPexhB
sTP+/ycAO2Z17TACC4SrA3Cvzg7SigDXnONd63ZKr+w2c2d/+RkngTyhROW75mrF
gwkhnrCtjhSkBTevTEamWVWzwHwjSrc"
2023-01-06T10:00:00Z,TA_PT1H_MIN,-10.4
2023-01-06T10:00:00Z,RH_PT1H_AVG,87
2023-01-06T10:00:00Z,WS_PT1H_AVG,1
2023-01-06T10:00:00Z,WS_PT1H_MAX,1.6
2023-01-06T10:00:00Z,WS_PT1H_MIN,0.5
2023-01-06T10:00:00Z,WD_PT1H_AVG,324
2023-01-06T10:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T10:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T10:00:00Z,PA_PT1H_AVG,1029.8
2023-01-06T10:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T11:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+LAHKfnQhuUra69310lV4y/ZYI/3irVkMbd5+6QtU9lCs
ZTEMX3OsV9RCjJ072GDYrk8GaBxgc18/rh3wqb/aJHN8HESRUM4t/DWd4gRWwk75
KUytUHPc3sw/SFB/SxG2pCl8+v8HuTQTOrNR7Bja+10z1fVkpknWW1qBTOVyaOVm
iqQdVXMfrVnrgt52kGMXDY3qgWENXld"
2023-01-06T11:00:00Z,TA_PT1H_MAX,-9.7
2023-01-06T11:00:00Z,TA_PT1H_MIN,-12.4
2023-01-06T11:00:00Z,RH_PT1H_AVG,88
2023-01-06T11:00:00Z,WS_PT1H_AVG,1
2023-01-06T11:00:00Z,WS_PT1H_MAX,1.4
2023-01-06T11:00:00Z,WS_PT1H_MIN,0.5
2023-01-06T11:00:00Z,WD_PT1H_AVG,317
2023-01-06T11:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T11:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T11:00:00Z,PA_PT1H_AVG,1029.4
2023-01-06T11:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T12:00:00Z,TA_PT1H_AVG,-11.2
2023-01-06T12:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAzVXlU7mmsOpYW+nHmyamoAS8wGJgE3wWvfWq2tV3Hgu/
q3qzHfTna670nmVg/LRaYGNcBd7l5xp3sxdOLxDbhU2qx66aPbKrg5ghdk+GpqWR
WXKbdB9oKsllO4yZHcKNjFyjpCGhlEEBdkV2h8BM01l9gqkN8CbsEXRspcYHykOC
2I40Lyk2fcpWKt3trYURTCnUc5P8Yq+"
2023-01-06T12:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAv79Alpr91PSmZVmAayKUaQycSQEt+7bzwfk+VfDOpM1X
s4L0ILd2vokMX2RywDCIvUcpfR4er2A2tragbahQuu0+2UqHvBciNcZQYGnhwzbm
6KH37X/TuZwdji8f5wYLm+dvQaM8Co/Bd9QH7881GeBMiEhrTyu7iAPyFocjHxqe
63TL2nXlGk1fqYVOPpVvTqor0ST6mkj"
2023-01-06T12:00:00Z,RH_PT1H_AVG,90
2023-01-06T12:00:00Z,WS_PT1H_AVG,1
2023-01-06T12:00:00Z,WS_PT1H_MAX,2.1
2023-01-06T12:00:00Z,WS_PT1H_MIN,0.3
2023-01-06T12:00:00Z,WD_PT1H_AVG,119
2023-01-06T12:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T12:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T12:00:00Z,PA_PT1H_AVG,1029.5
2023-01-06T12:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T13:00:00Z,TA_PT1H_AVG,-10.8
2023-01-06T13:00:00Z,TA_PT1H_MAX,-10.5
2023-01-06T13:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+JfcfTM1qHEv/Hqhf0EaS05tz6JMXur7zhtQTw8MEZQTD
qyb7vtnTo9YPGlJqTGQYwkhzbKLwFjYeRYnRYZXo3EunUQ5kF6FXhIn57AifP/OC
VanEbl/lpUU/FCndHTjGtYRX52z5Tal9DS2bqAo/m8FP6DBugrvhGShIap4fdl36
syodX3P1WM6I/d99PPHedQX7GGW0yg2"
2023-01-06T13:00:00Z,RH_PT1H_AVG,90
2023-01-06T13:00:00Z,WS_PT1H_AVG,0.8
2023-01-06T13:00:00Z,WS_PT1H_MAX,1.3
2023-01-06T13:00:00Z,WS_PT1H_MIN,0.2
2023-01-06T13:00:00Z,WD_PT1H_AVG,308
2023-01-06T13:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T13:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T13:00:00Z,PA_PT1H_AVG,1029.4
2023-01-06T13:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T14:00:00Z,TA_PT1H_AVG,-11.1
2023-01-06T14:00:00Z,TA_PT1H_MAX,-10.6
2023-01-06T14:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAmmB8llz41KVO9c7QaOajJ3fx8zNLh6A1JMSJE0bgesoo
42qVWUpzyYWPTWP/PrbmkG8NTQsF6ZswyCKK36v846gLher9de5+zjQZXtrQmxrG
9ZbvFix2e+1b3+wq1jpph8/YJl+uEBVi598P4XQcfoKLN2DcssZu4Dz0mcYrHrLo
ETVyB6Ggmu3raScPLZ1gY4A7BSKlWa8"
2023-01-06T14:00:00Z,RH_PT1H_AVG,90
2023-01-06T14:00:00Z,WS_PT1H_AVG,0.6
2023-01-06T14:00:00Z,WS_PT1H_MAX,0.8
2023-01-06T14:00:00Z,WS_PT1H_MIN,0.4
2023-01-06T14:00:00Z,WD_PT1H_AVG,343
2023-01-06T14:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T14:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T14:00:00Z,PA_PT1H_AVG,1029.3
2023-01-06T14:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T15:00:00Z,TA_PT1H_AVG,-11.7
2023-01-06T15:00:00Z,TA_PT1H_MAX,-11.1
2023-01-06T15:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//XOG5vtRvmRnag38MwRbJXdCVnxYApzbAkTRbfywFcS3q
3G5WmVj1/5wLo7AQNfUaV5VhE57YeOxkLJ/KcEtbAoZDt0wDJn1oiWUoxdIjuRls
SPzhxeHEIE+KUsXVIz7AzhgFr0wfIODKnI4z2BJQBWAMjRrZ7NIXJ/M6oWyNaVuH
xndrHnB8x7bmPQvPNsqWmZxxfqDRI7i"
2023-01-06T15:00:00Z,RH_PT1H_AVG,91
2023-01-06T15:00:00Z,WS_PT1H_AVG,0.6
2023-01-06T15:00:00Z,WS_PT1H_MAX,0.9
2023-01-06T15:00:00Z,WS_PT1H_MIN,0.4
2023-01-06T15:00:00Z,WD_PT1H_AVG,313
2023-01-06T15:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T15:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T15:00:00Z,PA_PT1H_AVG,1029.3
2023-01-06T15:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T16:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/9GPGTe6NoSyaYnt6Tyakr7JWvmpe4pthDl0EbklzsJsYO
adad28dT0MPNlAq/ejAceLfk6dWl2kUNWeYXqMdSvRVpt7B3f9XfmRHKBf81xVm+
bXgd1PLo5BNT6lOP8jB7jVFyEfoplyV53519arl0gDmCcJfFOvxcFfg9b7ERkZ7B
CiKEWVYNKKHeYLhUiKztu3m0yElCDiP"
2023-01-06T16:00:00Z,TA_PT1H_MAX,-11.5
2023-01-06T16:00:00Z,TA_PT1H_MIN,-12.5
2023-01-06T16:00:00Z,RH_PT1H_AVG,90
2023-01-06T16:00:00Z,WS_PT1H_AVG,0.5
2023-01-06T16:00:00Z,WS_PT1H_MAX,0.9
2023-01-06T16:00:00Z,WS_PT1H_MIN,0.2
2023-01-06T16:00:00Z,WD_PT1H_AVG,309
2023-01-06T16:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T16:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T16:00:00Z,PA_PT1H_AVG,1029.6
2023-01-06T16:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T17:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAsKxQJTaETyLarofrIxzqt0e76H7bAIvRwnf3lWnTnkQ3
ePmqFSLzSnHQAybuFFXZ8pDU/zQIq3pLqHi2Za/NWHKE2EglK73ByyKO2tFyAy09
khLeNuTSYF1tZNF7xhvtKY73wKZ5uBRo6ZE5suugyuSK1+yTTtVMO2w17E+Xksd4
TVmndUaf+c3EriprucgymyfmVJXwonj"
2023-01-06T17:00:00Z,TA_PT1H_MAX,-11.9
2023-01-06T17:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAluxzgjNEJ2A24GnrXpds+K7asTwvvoKRInu58f1BZjky
taV5PsJmLhddgKsUq8fMYWTVb92j1g9yl6sYVndXHIqyK+fUpaVFOtsC5i1oS9xF
g/QicZCLAHrtK74l8WmDByfrXXEgmVmH7r7hcBU15EX/6fx1eUHfCjcTiDR4mlD3
lQtbJJxlyg7y5ojlv9MXR4XYEPY+u87"
2023-01-06T17:00:00Z,RH_PT1H_AVG,90
2023-01-06T17:00:00Z,WS_PT1H_AVG,0.4
2023-01-06T17:00:00Z,WS_PT1H_MAX,0.5
2023-01-06T17:00:00Z,WS_PT1H_MIN,0.2
2023-01-06T17:00:00Z,WD_PT1H_AVG,324
2023-01-06T17:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T17:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T17:00:00Z,PA_PT1H_AVG,1029.6
2023-01-06T17:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T18:00:00Z,TA_PT1H_AVG,-11.8
2023-01-06T18:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+Pdor75MGpjZLnsiNr4xw9ArRcxbRvHNovabO0RVbO/Ce
7oozdu7oaAaircWXjIAU6JjwgLULaganZ1UElxdU3Ist2iRk2/wxq0XulAbNA6+x
SmkV7mkGspU3shP+rPDIwfGQZi77lEdRyO9jZpm1bu8s8gpAgHSugW9AWxiODge2
aXBRJJ0Sz/eIP9lgYOqaxOSeNwm/HJm"
2023-01-06T18:00:00Z,TA_PT1H_MIN,-12
2023-01-06T18:00:00Z,RH_PT1H_AVG,89
2023-01-06T18:00:00Z,WS_PT1H_AVG,0.3
2023-01-06T18:00:00Z,WS_PT1H_MAX,0.4
2023-01-06T18:00:00Z,WS_PT1H_MIN,0.2
2023-01-06T18:00:00Z,WD_PT1H_AVG,305
2023-01-06T18:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T18:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T18:00:00Z,PA_PT1H_AVG,1029.4
2023-01-06T18:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T19:00:00Z,TA_PT1H_AVG,-12
2023-01-06T19:00:00Z,TA_PT1H_MAX,-11.7
2023-01-06T19:00:00Z,TA_PT1H_MIN,-12.2
2023-01-06T19:00:00Z,RH_PT1H_AVG,89
2023-01-06T19:00:00Z,WS_PT1H_AVG,0.2
2023-01-06T19:00:00Z,WS_PT1H_MAX,0.3
2023-01-06T19:00:00Z,WS_PT1H_MIN,0.1
2023-01-06T19:00:00Z,WD_PT1H_AVG,291
2023-01-06T19:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T19:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T19:00:00Z,PA_PT1H_AVG,1029.2
2023-01-06T19:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T20:00:00Z,TA_PT1H_AVG,-12.3
2023-01-06T20:00:00Z,TA_PT1H_MAX,-12
2023-01-06T20:00:00Z,TA_PT1H_MIN,-12.7
2023-01-06T20:00:00Z,RH_PT1H_AVG,89
2023-01-06T20:00:00Z,WS_PT1H_AVG,0.4
2023-01-06T20:00:00Z,WS_PT1H_MAX,0.8
2023-01-06T20:00:00Z,WS_PT1H_MIN,0.2
2023-01-06T20:00:00Z,WD_PT1H_AVG,55
2023-01-06T20:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T20:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T20:00:00Z,PA_PT1H_AVG,1029
2023-01-06T20:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T21:00:00Z,TA_PT1H_AVG,-12.1
2023-01-06T21:00:00Z,TA_PT1H_MAX,-11.5
2023-01-06T21:00:00Z,TA_PT1H_MIN,-12.4
2023-01-06T21:00:00Z,RH_PT1H_AVG,88
2023-01-06T21:00:00Z,WS_PT1H_AVG,0.7
2023-01-06T21:00:00Z,WS_PT1H_MAX,1.2
2023-01-06T21:00:00Z,WS_PT1H_MIN,0.4
2023-01-06T21:00:00Z,WD_PT1H_AVG,131
2023-01-06T21:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T21:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T21:00:00Z,PA_PT1H_AVG,1028.9
2023-01-06T21:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T22:00:00Z,TA_PT1H_AVG,-11.5
2023-01-06T22:00:00Z,TA_PT1H_MAX,-11
2023-01-06T22:00:00Z,TA_PT1H_MIN,-11.9
2023-01-06T22:00:00Z,RH_PT1H_AVG,88
2023-01-06T22:00:00Z,WS_PT1H_AVG,0.7
2023-01-06T22:00:00Z,WS_PT1H_MAX,0.9
2023-01-06T22:00:00Z,WS_PT1H_MIN,0.4
2023-01-06T22:00:00Z,WD_PT1H_AVG,165
2023-01-06T22:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T22:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T22:00:00Z,PA_PT1H_AVG,1029
2023-01-06T22:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-06T23:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAA0MIrOMsfGs0PCg47XVVtCN1gGVX51stiBeUCZDR0dMEk
MGg7Fi5I+YNl10umUo/xmXu5i5YBlwHKvjwJ3miQ6nSt7aXvJcW50MDV2HmC2ZV7
Fp66CXZebvSkj2AtYLiVEjicnvZKBmvNw9gGyVWq8NfLK90Nc4pZ/qkFs0vbS5Cl
nUJ+egFNWp9uN6LYtZwRmM6iH0Kdt4v"
2023-01-06T23:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+MYkTz/X+QNSvkKOrUjxTgiUj+Ux539WB0scXfbIdQ6Hb
4+V5Au4LNMUqAqcQDQs7dr1DGfonKUARKSUoRr9OjOD38tSN7IFGAgu31nSJeQNf
3W7Nc8KQUWJXAkyq1Arrdwdl6rNr2FQxkEuYxwcWYFvLmWcBY/Nn3bznzFXSk00d
Nhfw8TpLh6XZ552Ho9xZhEnnRolmcnH"
2023-01-06T23:00:00Z,TA_PT1H_MIN,-11.4
2023-01-06T23:00:00Z,RH_PT1H_AVG,87
2023-01-06T23:00:00Z,WS_PT1H_AVG,0.8
2023-01-06T23:00:00Z,WS_PT1H_MAX,1.3
2023-01-06T23:00:00Z,WS_PT1H_MIN,0.5
2023-01-06T23:00:00Z,WD_PT1H_AVG,157
2023-01-06T23:00:00Z,PRA_PT1H_ACC,NaN
2023-01-06T23:00:00Z,PRI_PT1H_MAX,NaN
2023-01-06T23:00:00Z,PA_PT1H_AVG,1029
2023-01-06T23:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T00:00:00Z,TA_PT1H_AVG,-10.7
2023-01-07T00:00:00Z,TA_PT1H_MAX,-10
2023-01-07T00:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/+JzCh1HGhJl2Y/64PT7FOHpND+EcRxIs0hkNu/2XFLNCa
yzOAvTiawtBaGP2TQVZjf9VjLZgKRO6vmJVMjjCJW9fHyrzceyBVBK7Iv/DbKZY9
Ds5/tD0QzsZJA9lA+ABkCPx0TOVHiHfzvD7eNRVQr8wCh2W8UTec8UG3HiF3R4KE
sF4jKzunVbxSmAP00Mm2Ez+5JQh9ndD"
2023-01-07T00:00:00Z,RH_PT1H_AVG,84
2023-01-07T00:00:00Z,WS_PT1H_AVG,2.1
2023-01-07T00:00:00Z,WS_PT1H_MAX,2.5
2023-01-07T00:00:00Z,WS_PT1H_MIN,1.4
2023-01-07T00:00:00Z,WD_PT1H_AVG,170
2023-01-07T00:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T00:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T00:00:00Z,PA_PT1H_AVG,1028.9
2023-01-07T00:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T01:00:00Z,TA_PT1H_AVG,-10.1
2023-01-07T01:00:00Z,TA_PT1H_MAX,-9.9
2023-01-07T01:00:00Z,TA_PT1H_MIN,-10.5
2023-01-07T01:00:00Z,RH_PT1H_AVG,79
2023-01-07T01:00:00Z,WS_PT1H_AVG,1.9
2023-01-07T01:00:00Z,WS_PT1H_MAX,2.1
2023-01-07T01:00:00Z,WS_PT1H_MIN,1.8
2023-01-07T01:00:00Z,WD_PT1H_AVG,158
2023-01-07T01:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T01:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T01:00:00Z,PA_PT1H_AVG,1028.7
2023-01-07T01:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T02:00:00Z,TA_PT1H_AVG,-11.6
2023-01-07T02:00:00Z,TA_PT1H_MAX,-10.6
2023-01-07T02:00:00Z,TA_PT1H_MIN,-13.2
2023-01-07T02:00:00Z,RH_PT1H_AVG,87
2023-01-07T02:00:00Z,WS_PT1H_AVG,1.7
2023-01-07T02:00:00Z,WS_PT1H_MAX,2.2
2023-01-07T02:00:00Z,WS_PT1H_MIN,0.7
2023-01-07T02:00:00Z,WD_PT1H_AVG,133
2023-01-07T02:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T02:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T02:00:00Z,PA_PT1H_AVG,1028.6
2023-01-07T02:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T03:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/6AhZOxe3WunEL4Dff9y8EvdCutQ+XFyme4eH4QevLmiw5
uIKmzREqyTUgjGLLIvMpuaeXxnzM7hg5F8jG5Ri8dw0oJU3glS9kwa6Eu+HOtYek
cvGoUkozmaib0PhRz7+xCHfh2tvirCmPBFAKiNYYRf9BA+xpy57oTaY+z7Fx0IqZ
dLqe9+nWwj5uu6evd5mP5jZxcWycoio"
2023-01-07T03:00:00Z,TA_PT1H_MAX,-13.1
2023-01-07T03:00:00Z,TA_PT1H_MIN,-14.5
2023-01-07T03:00:00Z,RH_PT1H_AVG,93
2023-01-07T03:00:00Z,WS_PT1H_AVG,0.4
2023-01-07T03:00:00Z,WS_PT1H_MAX,0.6
2023-01-07T03:00:00Z,WS_PT1H_MIN,0.2
2023-01-07T03:00:00Z,WD_PT1H_AVG,72
2023-01-07T03:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T03:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T03:00:00Z,PA_PT1H_AVG,1028.5
2023-01-07T03:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T04:00:00Z,TA_PT1H_AVG,-13.7
2023-01-07T04:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAroApfUbPoe5IYp/GiD5iSbTl4in8NvTkRnxxmbRLW1Vv
KlCtfUks8IrKUWkDy5nfAYW+EqrbgGMx/pSea9hSUc7bYvUfEGTgWmDE31bZo36r
jOBJTxQczOfiU09/2xzKlJifEYtZYwnEqejZDFsdWTc+StKoC5WbyFByEiTkPcDn
bI3NW3sLEQ7SVrtET6X2wt76Qw5vrRl"
2023-01-07T04:00:00Z,TA_PT1H_MIN,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ/7BfZCHDURe69e4w03fG0yRppK0zDBmmapss4HiVrMVqn8
JnFIaJMN1JJyJlSOYFnRWXkD+SK0IM8UZKeiSt8uvZXdgGInQRQuQ9o02g8VMKth
7HdtBgcE4tNsozep6Gc57F0lX/1MdjoEbM2vc50QUczLitI0rss6Of2iokzidEmv
hiSTJyiFebjcXIUsn84coZAvxUr5Ip5"
2023-01-07T04:00:00Z,RH_PT1H_AVG,89
2023-01-07T04:00:00Z,WS_PT1H_AVG,0.4
2023-01-07T04:00:00Z,WS_PT1H_MAX,0.8
2023-01-07T04:00:00Z,WS_PT1H_MIN,0.2
2023-01-07T04:00:00Z,WD_PT1H_AVG,120
2023-01-07T04:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T04:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T04:00:00Z,PA_PT1H_AVG,1027.9
2023-01-07T04:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T05:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAv7AWDwSlmPY/sZHdAkDFvrJUo4j0+ZZVSyewTyxuLzv3
t/RclyreGVO9wuYqRppbnMd92nzaZ6lKksmPOKBgUpfiaPLcBk+gwbeKiVMtwFUQ
n0RxNUBYNITjgKJ+lZ5DQ3x2uwAmZX8ObvQfVAumX9zIJrDaI/4WafB8P+FWIlJC
1mCUkldyl/uiX3ysNRgaYQzSFABHtv7"
2023-01-07T05:00:00Z,TA_PT1H_MAX,-11.7
2023-01-07T05:00:00Z,TA_PT1H_MIN,-12.9
2023-01-07T05:00:00Z,RH_PT1H_AVG,87
2023-01-07T05:00:00Z,WS_PT1H_AVG,0.6
2023-01-07T05:00:00Z,WS_PT1H_MAX,1
2023-01-07T05:00:00Z,WS_PT1H_MIN,0.2
2023-01-07T05:00:00Z,WD_PT1H_AVG,135
2023-01-07T05:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T05:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T05:00:00Z,PA_PT1H_AVG,1027.6
2023-01-07T05:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T06:00:00Z,TA_PT1H_AVG,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAxybjNlNVtOo3RhGMgtL3rW+rqv3CSZfT+xYWHd6/8N+s
tRDUU8ghJIPRiv7t+eXdmTNVrXvVCY5cpBK8klRA1FvNWGlAiuBxcj5wbvMFtNva
axnS5zRNl83zwJx8Rw5vwvcGd9lpEIhuCre05yaJCm9KhDlaMT3HjJeDdXYkhmjx
wst3FGU6+BBD4mNqcIOvVquaAyGjwkL"
2023-01-07T06:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAARAAiGY+yf/tlBjAPJLcXKwQ/74VdG7GDKaCnhmWN0hWu7SZ
LzXOc9XJIoPpRYVVw+hncgmULPomeNKve6nPVBd1ao5Hls2aPXqmiaNPc8gEHY8o
DATBIsMB+j70ELzI857GSKko5p/ZqiTmXM7lJRlHkj0raK18thdgk3pz39xX92sE
zYZXW3rbTGFYXFp2Bis2Ow5QsByOfEm"
2023-01-07T06:00:00Z,TA_PT1H_MIN,-11.7
2023-01-07T06:00:00Z,RH_PT1H_AVG,85
2023-01-07T06:00:00Z,WS_PT1H_AVG,1.1
2023-01-07T06:00:00Z,WS_PT1H_MAX,1.7
2023-01-07T06:00:00Z,WS_PT1H_MIN,0.3
2023-01-07T06:00:00Z,WD_PT1H_AVG,141
2023-01-07T06:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T06:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T06:00:00Z,PA_PT1H_AVG,1027.6
2023-01-07T06:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T07:00:00Z,TA_PT1H_AVG,-10.7
2023-01-07T07:00:00Z,TA_PT1H_MAX,-10.2
2023-01-07T07:00:00Z,TA_PT1H_MIN,-11
2023-01-07T07:00:00Z,RH_PT1H_AVG,84
2023-01-07T07:00:00Z,WS_PT1H_AVG,2.1
2023-01-07T07:00:00Z,WS_PT1H_MAX,2.7
2023-01-07T07:00:00Z,WS_PT1H_MIN,1.6
2023-01-07T07:00:00Z,WD_PT1H_AVG,134
2023-01-07T07:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T07:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T07:00:00Z,PA_PT1H_AVG,1027.5
2023-01-07T07:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T08:00:00Z,TA_PT1H_AVG,-10.3
2023-01-07T08:00:00Z,TA_PT1H_MAX,-10.1
2023-01-07T08:00:00Z,TA_PT1H_MIN,-10.7
2023-01-07T08:00:00Z,RH_PT1H_AVG,82
2023-01-07T08:00:00Z,WS_PT1H_AVG,2.6
2023-01-07T08:00:00Z,WS_PT1H_MAX,3.1
2023-01-07T08:00:00Z,WS_PT1H_MIN,2.3
2023-01-07T08:00:00Z,WD_PT1H_AVG,137
2023-01-07T08:00:00Z,PRA_PT1H_ACC,NaN
2023-01-07T08:00:00Z,PRI_PT1H_MAX,NaN
2023-01-07T08:00:00Z,PA_PT1H_AVG,1027.5
2023-01-07T08:00:00Z,WAWA_PT1H_RANK,NaN
2023-01-07T09:00:00Z,TA_PT1H_AVG,-10.2
2023-01-07T09:00:00Z,TA_PT1H_MAX,"-----BEGIN PGP MESSAGE-----

hQIMA6lfX7IuZSTAAQ//SJip2ttr4yK7JbEsDX1D/Q+NcKdiAFdAb7FLCQgmAkyL
SLxQOz3kJa0PH81oOQrUmtCmJ01tGqJzkwXDw5a+nXbUvx6ALxpG0J4oyyLnAu4K
1Kpw/x3VZCzfBZnekaZ/fEVjxOsJ49hLh9mgrcrpYzpX7i2wYBMdA9nNrcGrc3Wg
U1ETr06HKNbouy+6zKKDEtUqycI5oyp"
